gate,min_p_touch,min_p_direction,distance_low,distance_high,target_fraction,stop_atr_mult,max_hold_bars,q_cohort,q_fraction,trades,win_rate,mean_r,median_r,total_r,profit_factor,max_drawdown_r,trade_sharpe,dsr,mean_r_cost_1_25x,mean_r_cost_1_50x,long_n,short_n,long_mean_r,short_mean_r,long_pf,short_pf,sectors_with_min_trades,top_sector,top_sector_trades,morning_mean_r,midday_mean_r,afternoon_mean_r,closing_mean_r,first_half_mean_r,second_half_mean_r,temporal_gap_r,temporal_stable,avg_bars_held,target_exit_rate,stop_exit_rate,time_exit_rate,mean_p_touch,mean_p_direction,mean_q,passes_min_filters
T>=0.80|D>=0.55|3-8ATR,0.8,0.55,3.0,8.0,1.0,2.0,36,all,1.0,393,0.48091603053435117,0.015451031577495668,-0.06990943522330004,6.0722554099557975,1.0302556067648228,-54.11606934595845,0.01250676381991308,0.0,-0.08624950877181929,-0.18795004912113425,362,31,0.06353629469513254,-0.5460607506349092,1.1332762131531982,0.39808857982604745,4,AUTO,141,0.5256003574223669,-0.5032542597681567,-0.18615297257446595,,0.1113381456383097,-0.04901775149317933,0.160355897131489,False,17.173027989821882,0.1806615776081425,0.29770992366412213,0.5216284987277354,0.8381288560369586,0.7919004080651365,0.42773457334499604,False
T>=0.80|D>=0.55|3-8ATR,0.8,0.55,3.0,8.0,1.0,2.0,36,top_50pct,0.5,197,0.5431472081218274,0.11718581454599099,0.07464247268871387,23.085605465560224,1.2549913675769444,-20.01109289527622,0.09509632715808178,0.0,0.016302201055554202,-0.08458141243488257,179,18,0.16114839722841992,-0.3199976465737191,1.3702560195206923,0.5438660631758049,3,PHARMA,84,0.5846276635660889,-0.08535416865529832,-0.11883032552318643,,0.14738672093063368,0.10090563844801953,0.04648108248261415,True,16.730964467005077,0.2131979695431472,0.27411167512690354,0.5126903553299492,0.8352758484932583,0.7910373051900309,0.44119061719510644,False
T>=0.80|D>=0.55|3-8ATR,0.8,0.55,3.0,8.0,1.0,2.0,36,top_25pct,0.25,99,0.5252525252525253,0.07551375520282537,0.07443160795131043,7.475861765079712,1.145615165114153,-17.111634305249197,0.05816060477612924,3.724323745970142e-202,-0.03497414951052176,-0.14546205422386876,89,10,0.17345456888805583,-0.796159486595726,1.3723114878982319,0.1938471829322078,1,PHARMA,41,0.425373947842376,,-0.09158365023696004,,0.3722607253117065,-0.11737177536794749,0.489632500679654,False,15.232323232323232,0.2222222222222222,0.30303030303030304,0.47474747474747475,0.8352079149068827,0.7805032393828853,0.45063704991692516,False
T>=0.80|D>=0.55|3-8ATR,0.8,0.55,3.0,8.0,1.0,2.0,36,top_10pct,0.1,40,0.525,0.05779631893433272,0.046977752175894553,2.311852757373309,1.1266729933058974,-10.907964785566788,0.04785818696066686,8.7414037922656e-83,-0.07012398144921941,-0.1980442818327715,32,8,0.2198444834302653,-0.5903963390493976,1.6057915108851832,0.28842326552499364,0,IT,14,0.6849453052440341,,-0.05287703159090871,,0.7008767135379743,-0.15656381260021449,0.8574405261381888,False,14.625,0.225,0.2,0.575,0.8298859646694184,0.7148527510841722,0.455513563085557,False
T>=0.80|D>=0.55|3-8ATR,0.8,0.55,3.0,8.0,1.0,2.0,36,top_5pct,0.05,20,0.6,0.0809881769470999,0.16311485256359454,1.619763538941998,1.1857066910796867,-7.207160041605734,0.0670144772900943,1.2489682584400805e-40,-0.0410311251542812,-0.1630504272556623,14,6,0.5531074709305689,-1.0206235090143276,4.714716844171326,0.07741813129865178,0,IT,14,1.5112488768424637,,-0.1714107700932584,,1.0329969651142896,-0.23634808577529667,1.2693450508895863,False,15.65,0.25,0.2,0.55,0.8310840410916068,0.7139074026251806,0.46011806107080017,False
T>=0.80|D>=0.60|3-8ATR,0.8,0.6,3.0,8.0,1.0,2.0,36,all,1.0,316,0.5348101265822784,0.15724025928130667,0.056647482665105144,49.687921932892905,1.362251430400536,-26.10357969510386,0.12764646821957934,0.0,0.06584033043521567,-0.025559598410875316,293,23,0.21537646912818498,-0.5833645009419686,1.5461950561070115,0.3796283476341095,3,PHARMA,121,0.5320614753939685,-0.0769136069096977,-0.035797042771890525,,0.20179084106372794,0.12486196760337218,0.07692887346035576,True,17.775316455696203,0.2088607594936709,0.25316455696202533,0.5379746835443038,0.8385776637970493,0.8413040043435186,0.4295979950136284,False
T>=0.80|D>=0.60|3-8ATR,0.8,0.6,3.0,8.0,1.0,2.0,36,top_50pct,0.5,158,0.5949367088607594,0.23748264490091037,0.20544928108867333,37.52225789434384,1.5788551018729375,-16.993310279736992,0.1898031281958526,2.0717104047676107e-302,0.14427617912471663,0.051069713348523026,146,12,0.29576715154152605,-0.4716455192265812,1.7811646126690384,0.4068903901075991,2,PHARMA,75,0.5745383001550596,-1.1868336611308654,0.04367828398114558,,0.2642758851440213,0.22194256555990596,0.04233331958411532,True,17.10759493670886,0.2468354430379747,0.25949367088607594,0.4936708860759494,0.8383929319263496,0.8336894500227401,0.44133627752420607,False
T>=0.80|D>=0.60|3-8ATR,0.8,0.6,3.0,8.0,1.0,2.0,36,top_25pct,0.25,79,0.5949367088607594,0.21653999677436597,0.20722997114617658,17.106659745174913,1.4696133760916135,-11.354619993425048,0.16301888596172315,4.511480673156142e-153,0.1158139747730691,0.015087952771772072,72,7,0.341379084783356,-1.0675191941752455,1.8755975670305827,0.10568021673839187,1,PHARMA,36,0.37822476981668945,,0.12777188608446288,,0.5127773675321529,0.004021882969866714,0.5087554845622861,False,15.936708860759493,0.25316455696202533,0.2911392405063291,0.45569620253164556,0.8381436772815821,0.8284030065013991,0.45069201604441184,False
T>=0.80|D>=0.60|3-8ATR,0.8,0.6,3.0,8.0,1.0,2.0,36,top_10pct,0.1,32,0.65625,0.22899667365756599,0.23913973132184618,7.3278935570421115,1.56602984796451,-7.248866174201032,0.17828947496338746,7.06316410264986e-62,0.12320564235722883,0.017414611056891655,26,6,0.5031722285606388,-0.9590973975890832,3.073781538124173,0.1330340115437076,0,PHARMA,14,0.21336833791963591,,0.2333726076641864,,1.101484850772422,-0.061832718714052624,1.1633175694864746,False,16.6875,0.25,0.25,0.5,0.8328930911498342,0.7820417873191019,0.45648767804307905,False
T>=0.80|D>=0.60|3-8ATR,0.8,0.6,3.0,8.0,1.0,2.0,36,top_5pct,0.05,16,0.625,0.17538652611340436,0.2746948217805405,2.8061844178144697,1.4020591527653705,-6.378522764816099,0.13468846473424748,3.9344482232936048e-31,0.05799984004692399,-0.059386846019556294,11,5,0.8585270033796122,-1.3275225238722528,28.62001369589347,0.0,0,IT,12,1.5112488768424637,,-0.13288940097791702,,1.1627783150740374,-0.15374407020680667,1.316522385280844,False,16.0,0.3125,0.25,0.4375,0.8295720349942804,0.7297606382043336,0.46192781925368154,False
