fill_policy,mode,cohort,fraction,trade_n,win_rate,mean_r,median_r,total_r,profit_factor,max_drawdown_r,mean_net_pnl,total_net_pnl,mean_q,min_q,actual_strict_rate
generous,reclaim_confirmed,top_25pct,0.25,2073,0.1577424023154848,-1.4020569222347032,-1.8191447196409043,-2906.4639997925397,0.08255215626196986,-2904.4967757168756,-9.033254004059886,-18725.935550416143,0.4483352583002556,0.3600518643006867,0.8002033553634977
generous,reclaim_confirmed,top_10pct,0.1,852,0.14906103286384975,-1.4239774321857628,-1.8174630436308785,-1213.22877222227,0.08213809876008955,-1211.1631788511845,-6.8985634395861375,-5877.576050527389,0.453407115769336,0.3600518643006867,0.7790123456790123
generous,reclaim_confirmed,top_5pct,0.05,413,0.17675544794188863,-1.2964611046920664,-1.7657072678727572,-535.4384362378235,0.11606810095141543,-535.3080682666695,-7.102121229827235,-2933.176067918648,0.4578507317403982,0.3857031617301363,0.8149100257069408
generous,reclaim_confirmed,top_1pct,0.01,71,0.2112676056338028,-1.2105193992409842,-1.818564370844032,-85.94687734610987,0.11890128832112623,-84.01837939653228,-11.807931967098915,-838.363169664023,0.48352308998697496,0.3857031617301363,0.8333333333333334
generous,touch_confirmed,all,1.0,19107,0.35746061652797406,-0.7086577065848239,-1.3258462611192487,-13540.322799716228,0.19952763592401127,-13542.202673789005,-6.867489561035122,-131217.12304269808,0.42866467226967137,0.25,0.485082504583588
generous,touch_confirmed,top_25pct,0.25,4857,0.3551575046324892,-0.6984247369802045,-1.2999038467890651,-3392.248947512853,0.19456652205468525,-3392.856836607781,-5.268662183169189,-25589.89222365275,0.4483128429647958,0.3568631773120406,0.5167391304347826
generous,touch_confirmed,top_10pct,0.1,1876,0.3619402985074627,-0.6752065199786328,-1.2846345405458202,-1266.6874314799152,0.200742854955769,-1269.0409841335188,-4.024642854915305,-7550.2299958211115,0.4537816306794898,0.3600518643006867,0.528514963297572
generous,touch_confirmed,top_5pct,0.05,916,0.3941048034934498,-0.591101162077227,-1.2005325101367923,-541.4486644627399,0.2337649677186477,-543.8927962065999,-4.393806102798965,-4024.7263901638526,0.45891867363405603,0.3838605967078189,0.5627906976744186
generous,touch_confirmed,top_1pct,0.01,189,0.3492063492063492,-0.7032228604048485,-1.3325964767008185,-132.90912061651636,0.2149191111036513,-135.0511963774133,-8.100045947022814,-1530.9086839873119,0.48211910993380447,0.3838605967078189,0.5172413793103449
neutral,blind_limit,all,1.0,20696,0.1974294549671434,-1.1981878873207898,-1.6410044524672651,-24797.69651599107,0.09451705301731742,-24797.17193987558,-11.265119664076636,-233142.91656773005,0.4289873710367586,0.25,0.4198504349595564
neutral,blind_limit,top_25pct,0.25,5399,0.20300055565845526,-1.1612886275659668,-1.6037968536918528,-6269.797300228654,0.102155924499628,-6268.4934729241495,-8.045966848926062,-43440.17501735181,0.44864588114984544,0.3568631773120406,0.44027966595455426
neutral,blind_limit,top_10pct,0.1,2147,0.21378667908709828,-1.11481399862747,-1.568139062151093,-2393.505655053178,0.1121119741428224,-2394.1393356697604,-6.232631351281474,-13381.459511201325,0.4539266895600375,0.3838605967078189,0.44873046875
neutral,blind_limit,top_5pct,0.05,1044,0.23371647509578544,-1.0376135565038933,-1.5013870118901176,-1083.2685529900646,0.1332515293241719,-1081.548332460595,-7.040061393310365,-7349.824094616021,0.45879677569442323,0.3838605967078189,0.4797979797979798
neutral,blind_limit,top_1pct,0.01,202,0.18811881188118812,-1.2553983320145126,-1.6624672077272282,-253.59046306693153,0.07738814138927869,-251.82241897961526,-13.486128202195651,-2724.1978968435214,0.4837870211404056,0.3838605967078189,0.45989304812834225
neutral,displacement_confirmed,all,1.0,7730,0.3728331177231565,-0.6770912245033036,-1.3181031713586826,-5233.915165410537,0.23239039772895903,-5233.989644305646,-6.881868129739139,-53196.840642883544,0.4280605296180912,0.25,0.5924682528098087
neutral,displacement_confirmed,top_25pct,0.25,1863,0.3902308105206656,-0.6584001056527103,-1.2871741211316714,-1226.5993968309995,0.23408376681930534,-1227.0089593117727,-5.034145230380708,-9378.612564199258,0.44857623713208267,0.3600518643006867,0.6248484848484849
neutral,displacement_confirmed,top_10pct,0.1,691,0.39363241678726485,-0.6337546304473392,-1.27437762098616,-437.92444963911134,0.25302626942395817,-438.076316745932,-3.758844672110049,-2597.3616684280437,0.454604821624774,0.3600518643006867,0.6409836065573771
neutral,displacement_confirmed,top_5pct,0.05,318,0.46540880503144655,-0.46982774200236255,-0.3804541201560383,-149.4052219567513,0.3592782329727358,-150.11723201508204,-3.6838741441656295,-1171.4719778446702,0.46133265186555017,0.3857031617301363,0.6909090909090909
neutral,displacement_confirmed,top_1pct,0.01,85,0.4,-0.6180646064855123,-1.27145385915637,-52.53549155126854,0.2935665627812828,-53.29332698222757,-7.320704959872122,-622.2599215891304,0.48511179575642,0.3857031617301363,0.6301369863013698
neutral,reclaim_confirmed,all,1.0,7683,0.14707796433684758,-1.4199786154077791,-1.8328551942102744,-10909.695702177967,0.07259223079515789,-10907.68521234582,-12.91245415172541,-99206.38524770632,0.42954864766031325,0.2941391672467585,0.7944528353700399
neutral,reclaim_confirmed,top_25pct,0.25,2064,0.15794573643410853,-1.4004546272154925,-1.8196508039828743,-2890.5383505727764,0.08312852237783595,-2888.5711264971133,-8.947624966593892,-18467.897931049793,0.448418684969571,0.3600518643006867,0.8001022494887525
neutral,reclaim_confirmed,top_10pct,0.1,852,0.14906103286384975,-1.4212531324851887,-1.8185747054745836,-1210.9076688773807,0.08243419684348571,-1208.8420755062953,-6.746128444464576,-5747.701434683819,0.4534364288691314,0.3600518643006867,0.7836835599505563
neutral,reclaim_confirmed,top_5pct,0.05,413,0.17675544794188863,-1.299089202289931,-1.7706575554235309,-536.5238405457415,0.11617802649840754,-536.3934725745875,-6.83421421008999,-2822.530468767166,0.45809411084916385,0.3857031617301363,0.8174807197943444
neutral,reclaim_confirmed,top_1pct,0.01,71,0.22535211267605634,-1.1749468663871903,-1.817446569749448,-83.4212275134905,0.1280305414469236,-81.4927295639129,-10.285600840937596,-730.2776597065692,0.4836279178110617,0.3857031617301363,0.8333333333333334
neutral,touch_confirmed,all,1.0,19107,0.35746061652797406,-0.7086577065848239,-1.3258462611192487,-13540.322799716228,0.19952763592401127,-13542.202673789005,-6.867489561035122,-131217.12304269808,0.42866467226967137,0.25,0.485082504583588
neutral,touch_confirmed,top_25pct,0.25,4853,0.35606841129198435,-0.6997425022806787,-1.3007663943206793,-3395.8503635681336,0.1937035672576182,-3396.4582526630593,-5.244777163286776,-25452.903573430725,0.44831454403812737,0.3568631773120406,0.5163256421419242
neutral,touch_confirmed,top_10pct,0.1,1879,0.3613624268227781,-0.6786075357117803,-1.2853996274593629,-1275.1035596024353,0.19906675216773342,-1277.4571122560396,-3.9497327438267904,-7421.547825650539,0.4536832617700251,0.3600518643006867,0.5299097065462754
neutral,touch_confirmed,top_5pct,0.05,919,0.3928182807399347,-0.5952336088615536,-1.206390648023922,-547.0196865437678,0.2325278814247955,-549.4638182876278,-4.228312036035846,-3885.8187611169424,0.4587582061814527,0.372354990731985,0.5608342989571263
neutral,touch_confirmed,top_1pct,0.01,189,0.3439153439153439,-0.7137392882823024,-1.3334307846114553,-134.89672548535515,0.21075592822533223,-137.03880124625206,-7.3434093795742434,-1387.904372739532,0.4819315098387411,0.3838605967078189,0.5172413793103449
