label,n,win_rate,mean_r,median_r,profit_factor,max_drawdown_r,trade_sharpe,dsr,kind,actual_vs_shuffle_p_value
shuffled_direction_229,434,0.5207373271889401,0.22577632441909595,0.272335302043731,1.4726274929242957,-33.45740193722448,0.1693184174859527,0.0,shuffled_direction_null,0.0
shuffled_direction_230,434,0.5414746543778802,0.2629232450811707,0.43783231904920783,1.5786396617269505,-30.612918203637935,0.19989408589393975,0.0,shuffled_direction_null,0.0
shuffled_direction_231,434,0.5138248847926268,0.2188197942224193,0.20370433973843166,1.474619590124421,-29.18049411306264,0.16786024715229347,0.0,shuffled_direction_null,0.0
shuffled_direction_232,434,0.5069124423963134,0.1886569166560412,0.15616662291268527,1.3813781667523592,-37.790931283889414,0.14115944215845283,0.0,shuffled_direction_null,0.0
shuffled_direction_233,434,0.5046082949308756,0.20990112829047397,0.20370433973843166,1.4415058101036486,-29.906957001379187,0.15947794748211103,0.0,shuffled_direction_null,0.0
shuffled_direction_234,434,0.5207373271889401,0.218135035284669,0.3392068046578032,1.46976744824954,-30.74474368303361,0.16767742415357578,0.0,shuffled_direction_null,0.0
shuffled_direction_235,434,0.5207373271889401,0.23374415923179434,0.3392068046578032,1.498943711648545,-29.12379221784012,0.17597380640871885,0.0,shuffled_direction_null,0.0
shuffled_direction_236,434,0.5046082949308756,0.1959970641307501,0.10248709771727962,1.410538570957198,-35.46813043068055,0.149533973795948,0.0,shuffled_direction_null,0.0
shuffled_direction_237,434,0.5046082949308756,0.19997677391699015,0.1488482735313499,1.4173093207420437,-29.651957527331906,0.1514122112474169,0.0,shuffled_direction_null,0.0
shuffled_direction_238,434,0.5092165898617511,0.20431605480938217,0.20370433973843166,1.4309225409290753,-30.15952407158786,0.15565773157211726,0.0,shuffled_direction_null,0.0
shuffled_direction_239,434,0.5138248847926268,0.19157327780264385,0.20538562836040933,1.401142358465303,-39.19414892314937,0.1464273203027013,0.0,shuffled_direction_null,0.0
shuffled_direction_240,434,0.5299539170506913,0.2616161217056336,0.42831664283056914,1.5703075524044228,-30.680147825196368,0.1966867708736478,0.0,shuffled_direction_null,0.0
shuffled_direction_241,434,0.5069124423963134,0.21671748737832755,0.20336613217031851,1.461483456178324,-33.09475107158897,0.164982039302393,0.0,shuffled_direction_null,0.0
shuffled_direction_242,434,0.5207373271889401,0.2322618842291404,0.38202985581018023,1.5055849254917701,-30.151091360210632,0.17791265832206854,0.0,shuffled_direction_null,0.0
shuffled_direction_243,434,0.5184331797235023,0.20958803925264605,0.20654146153106895,1.4367979132218118,-29.904596269286298,0.15836607084115714,0.0,shuffled_direction_null,0.0
shuffled_direction_244,434,0.5276497695852534,0.2276305703818851,0.4231111650768441,1.493489583765367,-31.30694165064874,0.17413881607636966,0.0,shuffled_direction_null,0.0
shuffled_direction_245,434,0.5207373271889401,0.24702560720429922,0.42572611886910894,1.5290093192134073,-29.0397273673793,0.18544028118760847,0.0,shuffled_direction_null,0.0
shuffled_direction_246,434,0.5230414746543779,0.22634929994633737,0.42831664283056914,1.490491060541173,-29.6036243019321,0.17463888456278753,0.0,shuffled_direction_null,0.0
shuffled_direction_247,434,0.5345622119815668,0.2474347294973768,0.43711858474782184,1.5339788482929164,-28.461601294944728,0.1863666411096619,0.0,shuffled_direction_null,0.0
shuffled_direction_248,434,0.5253456221198156,0.25138898596110076,0.42572611886910894,1.5424175776416171,-32.56155769621752,0.1888043326178124,0.0,shuffled_direction_null,0.0
shuffled_direction_249,434,0.5230414746543779,0.23765359585917378,0.381201715789953,1.5016931869406471,-36.74872440253681,0.17762549814606055,0.0,shuffled_direction_null,0.0
shuffled_direction_250,434,0.5230414746543779,0.22926133305205262,0.33837866463757593,1.4925073703596181,-31.78653388909669,0.17412694259296296,0.0,shuffled_direction_null,0.0
shuffled_direction_251,434,0.5161290322580645,0.20123489682764623,0.20654146153106895,1.4165435380684521,-28.108379899435196,0.1524921055169214,0.0,shuffled_direction_null,0.0
shuffled_direction_252,434,0.5046082949308756,0.15939552476783259,0.10248709771727962,1.3240355950209877,-29.78581925038972,0.12274996472026717,0.0,shuffled_direction_null,0.0
shuffled_direction_253,434,0.5414746543778802,0.2797661204619362,0.4377710612055522,1.6274050845559787,-27.74610527646179,0.2112925373886682,0.0,shuffled_direction_null,0.0
shuffled_direction_254,434,0.5345622119815668,0.26901122029142965,0.42869539944297474,1.5966921570148362,-24.57648346315027,0.20260420081133734,0.0,shuffled_direction_null,0.0
shuffled_direction_255,434,0.5207373271889401,0.22462418145108035,0.33837866463757593,1.4744468321671131,-33.28832889691,0.16884417724487574,0.0,shuffled_direction_null,0.0
shuffled_direction_256,434,0.5299539170506913,0.25294942617552446,0.42572611886910894,1.5577764357125063,-31.963801101335356,0.19252011081678294,0.0,shuffled_direction_null,0.0
shuffled_direction_257,434,0.5138248847926268,0.20931673480395427,0.20654146153106895,1.4354152575994752,-30.057639424813274,0.15770686132036169,0.0,shuffled_direction_null,0.0
shuffled_direction_258,434,0.5184331797235023,0.19826044227787054,0.20538562836040933,1.4189211066861678,-28.032120598020448,0.1523152980578842,0.0,shuffled_direction_null,0.0
shuffled_direction_259,434,0.5253456221198156,0.24319153783998348,0.42572611886910894,1.514952375723516,-28.172880681967428,0.18173476040019082,0.0,shuffled_direction_null,0.0
shuffled_direction_260,434,0.5460829493087558,0.28504234096172637,0.44714175161522984,1.6311579458541254,-31.33954681023582,0.21437118856924528,0.0,shuffled_direction_null,0.0
shuffled_direction_261,434,0.5230414746543779,0.23356064393045783,0.272335302043731,1.5033572810824356,-34.311459425091726,0.17627788425585042,0.0,shuffled_direction_null,0.0
shuffled_direction_262,434,0.5253456221198156,0.23707051274201948,0.33837866463757593,1.5123456906709087,-33.532871278669454,0.17938192566219416,0.0,shuffled_direction_null,0.0
