scenario,description,q_cohort,q_fraction,trades,win_rate,mean_r,median_r,profit_factor,max_drawdown_r,trade_sharpe,dsr,mean_r_cost_1_25x,mean_r_cost_1_50x,first_half_n,second_half_n,first_half_mean_r,second_half_mean_r,temporal_gap_r,long_n,short_n,sectors_with_30_trades,top_sector,top_sector_trades,morning_trades,midday_trades,afternoon_trades,target_exit_rate,stop_exit_rate,time_exit_rate,focused_survives,strict_ready
morning_only,Entries in morning window only,all,1.0,218,0.573394495412844,0.49577561445657725,0.6544548117736821,2.2067997646604263,-15.972755562360067,0.3548226552462271,0.0,0.42497005769189916,0.35416450092722085,77,141,0.904670256088778,0.2724785406574324,0.6321917154313457,209,9,3,PHARMA,78,218,0,0,0.37155963302752293,0.28440366972477066,0.3440366972477064,True,False
all,Baseline best marginal cell,top_25pct,0.25,150,0.6,0.44659736261226035,0.5161005309799869,2.105155329067461,-17.509343344058735,0.3230542403707453,1.7318370996831162e-264,0.3485220977175264,0.25044683282279256,75,75,0.6877108359766093,0.20548388924791117,0.48222694672869815,133,17,3,PHARMA,57,54,10,86,0.32666666666666666,0.22666666666666666,0.44666666666666666,True,False
long_ex_banking_it,"Long-only, exclude BANKING and IT",top_50pct,0.5,220,0.5954545454545455,0.4243104907145494,0.5055277285423967,2.0305521005068266,-18.825139038972118,0.30970090184911775,0.0,0.33730223190447295,0.25029397309439644,97,123,0.36994513347968677,0.46718398381846543,0.09723885033877866,220,0,2,PHARMA,133,92,14,114,0.31363636363636366,0.2590909090909091,0.42727272727272725,True,False
long_auto_pharma_fmcg,Long-only AUTO + PHARMA + FMCG,top_50pct,0.5,220,0.5954545454545455,0.4243104907145494,0.5055277285423967,2.0305521005068266,-18.825139038972118,0.30970090184911775,0.0,0.33730223190447295,0.25029397309439644,97,123,0.36994513347968677,0.46718398381846543,0.09723885033877866,220,0,2,PHARMA,133,92,14,114,0.31363636363636366,0.2590909090909091,0.42727272727272725,True,False
ex_banking_it,Exclude BANKING and IT,top_50pct,0.5,228,0.5833333333333334,0.3923185094863496,0.5013651342630628,1.9274332565239258,-18.825139038972118,0.2865663221583955,0.0,0.3025999480842728,0.21288138668219594,99,129,0.36343484617918775,0.41448504179184587,0.05105019561265811,217,11,2,PHARMA,136,90,14,124,0.3026315789473684,0.25877192982456143,0.43859649122807015,True,False
auto_pharma_fmcg,AUTO + PHARMA + FMCG,top_50pct,0.5,228,0.5833333333333334,0.3923185094863496,0.5013651342630628,1.9274332565239258,-18.825139038972118,0.2865663221583955,0.0,0.3025999480842728,0.21288138668219594,99,129,0.36343484617918775,0.41448504179184587,0.05105019561265811,217,11,2,PHARMA,136,90,14,124,0.3026315789473684,0.25877192982456143,0.43859649122807015,True,False
long_only,Only pool-side UP/long trades,top_50pct,0.5,271,0.5830258302583026,0.37219510699958475,0.442739113852788,1.9204176779895448,-18.825139038972118,0.2814104913296869,0.0,0.28394982170798383,0.195704536416383,120,151,0.42023666927823233,0.33401638200993095,0.08622028726830139,271,0,3,PHARMA,133,112,14,145,0.3173431734317343,0.25092250922509224,0.4317343173431734,True,False
all,Baseline best marginal cell,top_50pct,0.5,300,0.55,0.2826128876084552,0.27060213895797414,1.643703219838051,-24.354334676763813,0.21412674921359734,0.0,0.19081930507786718,0.09902572254727908,126,174,0.40756330337260993,0.19213155205510182,0.2154317513175081,272,28,3,PHARMA,137,114,17,169,0.29333333333333333,0.2633333333333333,0.44333333333333336,True,False
auto_only,AUTO sector only,top_5pct,0.05,10,0.9,1.1637259664499866,1.2264579223467749,10.374806220988601,-1.2413333556107027,1.0944120066592933,0.0005010044166037719,1.0712263305551506,0.9787266946603145,5,5,1.6047755214195907,0.722676411480383,0.8820991099392077,10,0,0,AUTO,10,7,0,3,0.3,0.1,0.6,False,False
midday_only,Entries in midday window only,top_50pct,0.5,14,0.7857142857142857,1.1040914284552006,1.483724475861973,4.663013361081131,-2.626798189913135,0.7162858335316132,1.7827777864256157e-11,1.017033543161111,0.9299756578670223,2,12,0.06254563257412471,1.2776823944353797,1.215136761861255,11,3,0,PHARMA,10,0,14,0,0.7142857142857143,0.14285714285714285,0.14285714285714285,False,False
long_morning_midday,"Long-only, block afternoon",top_5pct,0.05,12,0.75,1.0594447915343366,1.3924397098711543,7.762216547715616,-1.4871802362370086,0.9488696764056519,9.156767497716286e-08,0.9976395548065331,0.9358343180787299,11,1,0.9099061618000988,2.7043697186109523,1.7944635568108536,12,0,0,IT,9,12,0,0,0.6666666666666666,0.0,0.3333333333333333,False,False
midday_only,Entries in midday window only,top_25pct,0.25,7,0.7142857142857143,1.0519889400187403,2.397636825161651,3.4279395094065337,-1.5806479223744798,0.5347444618915667,1.5226072749548862e-08,0.9590384662114805,0.8660879924042205,1,6,-1.5806479223744796,1.49076175041761,3.0714096727920897,5,2,0,PHARMA,5,0,7,0,0.5714285714285714,0.14285714285714285,0.2857142857142857,False,False
long_morning_midday,"Long-only, block afternoon",top_25pct,0.25,58,0.7068965517241379,1.003969628071646,1.3924397098711543,4.662964504985917,-5.700339355198453,0.7260878090498568,3.710655274479999e-51,0.929207403906055,0.854445179740464,24,34,1.3248216209265258,0.7774858684093782,0.5473357525171476,58,0,0,PHARMA,29,51,7,0,0.5689655172413793,0.15517241379310345,0.27586206896551724,False,False
long_morning_midday_ex_banking_it,"Long-only, block afternoon, exclude BANKING and IT",top_25pct,0.25,47,0.7021276595744681,0.9968805728512186,1.3403240140722708,4.371888552721195,-5.925832488108807,0.6900006126807653,9.107656378616013e-45,0.9197504276791961,0.8426202825071737,15,32,1.4826008980977126,0.7691991703919245,0.713401727705788,47,0,0,PHARMA,29,40,7,0,0.5319148936170213,0.19148936170212766,0.2765957446808511,False,False
morning_only,Entries in morning window only,top_5pct,0.05,11,0.7272727272727273,0.975222346358289,1.3874236453473647,6.705921956352341,-1.4871802362370086,0.8627656117465592,1.3040025962526549e-08,0.9135120410332718,0.8518017357082548,10,1,0.8023076091330228,2.7043697186109523,1.9020621094779295,11,0,0,IT,8,11,0,0,0.6363636363636364,0.0,0.36363636363636365,False,False
long_morning,Long-only morning,top_5pct,0.05,11,0.7272727272727273,0.975222346358289,1.3874236453473647,6.705921956352341,-1.4871802362370086,0.8627656117465592,1.3040025962526549e-08,0.9135120410332718,0.8518017357082548,10,1,0.8023076091330228,2.7043697186109523,1.9020621094779295,11,0,0,IT,8,11,0,0,0.6363636363636364,0.0,0.36363636363636365,False,False
fmcg_only,FMCG sector only,top_10pct,0.1,5,0.8,0.9650524159664101,1.1478623636903995,21.32083839136906,-0.23745388782194654,1.3341042099226517,0.052101621621114945,0.8354939175819085,0.7059354191974069,3,2,1.393229244609077,0.3227871730024096,1.0704420716066674,1,4,0,FMCG,5,0,0,5,0.2,0.0,0.8,False,False
morning_midday,Block afternoon; keep morning plus midday,top_25pct,0.25,62,0.7096774193548387,0.9540402741578444,1.3734412588747569,4.38434625428758,-5.700339355198453,0.6892750743361573,2.672788740994551e-58,0.8766598385353745,0.7992794029129047,25,37,1.2980081125250817,0.7216295725583598,0.576378539966722,60,2,0,PHARMA,29,52,10,0,0.5483870967741935,0.16129032258064516,0.2903225806451613,False,False
