slice_id,family,slice_value,filter_expr,trades,win_rate,mean_r,median_r,profit_factor,max_drawdown_r,trade_sharpe,dsr,mean_r_cost_1_25x,mean_r_cost_1_50x,first_half_n,second_half_n,first_half_mean_r,second_half_mean_r,temporal_gap_r,unique_sectors,unique_symbols,top_sector,top_sector_trades,top_symbol,top_symbol_trades,long_n,short_n,target_exit_rate,stop_exit_rate,time_exit_rate,avg_bars_held,mean_p_touch,mean_p_direction,mean_q,candidate,diagnostic_only,reject_reason
symbol:DRREDDY,symbol,DRREDDY,symbol == 'DRREDDY',4068,0.47000983284169123,-0.05931199102426152,-0.4158038795461384,0.9096858769922848,-455.3849998854333,-0.04013126562581655,0.0,-0.1751069726240007,-0.2909019542237399,1764,2304,0.02144791384054863,-0.12114379318638178,0.14259170702693041,1,1,PHARMA,4068,DRREDDY,4068,3996,72,0.24827925270403148,0.40486725663716816,0.3468534906588004,12.670108161258604,0.8151148030822125,0.8800791785436728,0.43430604290844466,False,True,mean_R<=0.10; PF<=1.30; win<=50%; second_half<=0; cost1.5x<=0; one_symbol; one_sector; first_half_only
tf_bucket:4+,tf_bucket,4+,tf_bucket == '4+',12888,0.45670391061452514,-0.061527525738476585,-0.41959523736161514,0.9092362854313238,-2153.517942675384,-0.041040815504735276,0.0,-0.20114856911479378,-0.34076961249111093,4860,8028,0.30249412260214015,-0.2818993756307782,0.5843934982329184,5,23,PHARMA,4680,DRREDDY,2376,11664,1224,0.26194909993792675,0.3818280571073867,0.35622284295468654,11.812616387337057,0.8016335014796613,0.7932875876872105,0.43746903438533413,False,True,mean_R<=0.10; PF<=1.30; win<=50%; second_half<=0; cost1.5x<=0; first_half_only
tf_count_bucket:4+,tf_count_bucket,4+,tf_count_bucket == '4+',12888,0.45670391061452514,-0.061527525738476585,-0.41959523736161514,0.9092362854313238,-2153.517942675384,-0.041040815504735276,0.0,-0.20114856911479378,-0.34076961249111093,4860,8028,0.30249412260214015,-0.2818993756307782,0.5843934982329184,5,23,PHARMA,4680,DRREDDY,2376,11664,1224,0.26194909993792675,0.3818280571073867,0.35622284295468654,11.812616387337057,0.8016335014796613,0.7932875876872105,0.43746903438533413,False,True,mean_R<=0.10; PF<=1.30; win<=50%; second_half<=0; cost1.5x<=0; first_half_only
factor_x_distance:SWING / 5-8,factor_x_distance,SWING / 5-8,factor_enriched == 'SWING' & distance_bucket == '5-8',36,0.0,-0.07317693304394382,-0.07357192628900672,0.0,-2.598424841410595,-2.162107358380714,1.122592861819258e-100,-0.27317184033664316,-0.4731667476293424,0,36,,-0.07317693304394382,,1,1,AUTO,36,TVSMOTOR,36,36,0,0.0,0.0,1.0,18.0,0.8580889309366131,0.5947016588264421,0.3938391982928599,False,True,n<100; mean_R<=0.10; PF<=1.30; win<=50%; second_half<=0; cost1.5x<=0; one_symbol; one_sector
direction:UP,direction,UP,direction == 'UP',24120,0.45053897180762853,-0.0734768579795665,-0.3669667480916121,0.8907873038120213,-2764.1829225889496,-0.04984620698494587,0.0,-0.206823730964783,-0.3401706039499995,10764,13356,0.14705085789014183,-0.25120674219801065,0.3982576000881525,5,22,AUTO,8712,DRREDDY,3996,24120,0,0.262106135986733,0.40053897180762854,0.33735489220563847,11.932669983416252,0.8048030297948019,0.798075572554785,0.42844167073045086,False,True,mean_R<=0.10; PF<=1.30; win<=50%; second_half<=0; cost1.5x<=0; first_half_only
factor:REJ,factor,REJ,factor_enriched == 'REJ',1620,0.4388888888888889,-0.0978525327252439,-0.09072664356939812,0.8388662469222596,-246.7649402338909,-0.07325017364407427,0.0,-0.24832077048097317,-0.3987890082367025,612,1008,0.2242992652916152,-0.29344469580690835,0.5177439610985235,4,12,AUTO,972,TVSMOTOR,504,1440,180,0.23950617283950618,0.3277777777777778,0.4327160493827161,13.105555555555556,0.8309080774457874,0.726105589901093,0.39383298975125686,False,True,mean_R<=0.10; PF<=1.30; win<=50%; second_half<=0; cost1.5x<=0; first_half_only
day_of_week:Wednesday,day_of_week,Wednesday,day_of_week == 'Wednesday',4608,0.4357638888888889,-0.10170332306579305,-0.2374538878219464,0.8429851801995567,-591.6369180721404,-0.07346711840132882,0.0,-0.2473639534782599,-0.3930245838907267,1908,2700,0.07596950203598825,-0.22725878613771847,0.30322828817370673,5,19,PHARMA,1476,DRREDDY,900,3924,684,0.2905815972222222,0.3543836805555556,0.3550347222222222,9.99197048611111,0.7964786541238283,0.7729818570642948,0.43240038183126184,False,True,mean_R<=0.10; PF<=1.30; win<=50%; second_half<=0; cost1.5x<=0; first_half_only
direction_conf_tier:65-70,direction_conf_tier,65-70,direction_conf_tier == '65-70',2916,0.5,-0.1110957522564726,-0.0541746866752142,0.8304406820105363,-957.9165823192643,-0.08107951358858043,0.0,-0.2651985988143184,-0.4193014453721642,864,2052,0.6314445938950217,-0.42374431905710186,1.0551889129521235,5,15,PHARMA,1224,LUPIN,612,2844,72,0.2908093278463649,0.3717421124828532,0.3374485596707819,9.472565157750344,0.7939765742637364,0.6592355125810967,0.42962047905079137,False,True,mean_R<=0.10; PF<=1.30; win<=50%; second_half<=0; cost1.5x<=0; first_half_only
confluence_bucket:4+,confluence_bucket,4+,confluence_bucket == '4+',25092,0.43914395026303205,-0.11704726556645859,-0.44077079973687827,0.8314669848868855,-3239.7060864642217,-0.07970163761460801,0.0,-0.25187701669684165,-0.38670676782722474,10440,14652,0.17818961291071128,-0.32741260895313984,0.5056022218638512,5,24,PHARMA,8388,DRREDDY,4032,22500,2592,0.2506376534353579,0.40965247887772993,0.33970986768691214,11.926271321536746,0.8026455098041702,0.7968422258515989,0.4305912358050462,False,True,mean_R<=0.10; PF<=1.30; win<=50%; second_half<=0; cost1.5x<=0; first_half_only
time_x_distance:morning / 3-5,time_x_distance,morning / 3-5,time_bucket == 'morning' & distance_bucket == '3-5',5400,0.44666666666666666,-0.12820492602456351,-0.42297615591600607,0.8031542096703157,-1399.9043845095064,-0.09995306211927209,0.0,-0.23393201236455435,-0.33965909870454525,1224,4176,0.7916009105299153,-0.39780318846294527,1.1894040989928607,5,17,PHARMA,2484,LUPIN,1008,5112,288,0.3453703703703704,0.44055555555555553,0.21407407407407408,11.934814814814814,0.8158561164816412,0.8273136297817671,0.42704060536969857,False,True,mean_R<=0.10; PF<=1.30; win<=50%; second_half<=0; cost1.5x<=0; first_half_only
